week,15m_under,one_hour,intraday_daily,multiday_weekly,monthly_plus,total
2026-01-05,85548.000000,542385.900000,115664.700000,3663.280000,26975.550000,774237.430000
2026-01-12,107286.130000,687145.660000,87411.630000,59830.170000,31288.650000,972962.240000
2026-01-19,178692.550000,763647.980000,90976.460000,56663.770000,28358.280000,1118339.040000
2026-01-26,287216.120000,985228.120000,157806.020000,87817.150000,40012.890000,1558080.300000
2026-02-02,480767.570000,1231894.030000,165045.520000,104810.710000,51866.050000,2034383.880000
2026-02-09,890817.540000,1256816.420000,157314.090000,82981.150000,33062.780000,2420991.980000
2026-02-16,1298573.500000,1149551.690000,136020.940000,64744.770000,22085.230000,2670976.130000
2026-02-23,1536376.010000,1390140.910000,206833.470000,69122.470000,30274.170000,3232747.030000
2026-03-02,1583171.270000,1462031.280000,165265.020000,63533.130000,44698.940000,3318699.640000
2026-03-09,1490963.500000,1172770.330000,136321.840000,57066.250000,40803.620000,2897925.540000
2026-03-16,1904867.470000,1514490.730000,149358.980000,42555.280000,58311.450000,3669583.910000
2026-03-23,2015539.010000,1642858.990000,147570.010000,53277.810000,56662.260000,3915908.080000
2026-03-30,1996810.350000,1527453.420000,133064.310000,39941.210000,51407.540000,3748676.830000
2026-04-06,1982015.090000,1581369.450000,153343.390000,48974.190000,65908.980000,3831611.100000
2026-04-13,2390625.380000,1722045.420000,169139.950000,66884.120000,30799.640000,4379494.510000
2026-04-20,2520751.470000,1684488.390000,151223.230000,42206.240000,22755.510000,4421424.840000
2026-04-27,2314167.300000,1990479.010000,151862.970000,53464.790000,25072.680000,4535046.750000
2026-05-04,2578705.919999,2169236.650000,179824.400000,48521.240000,22997.820000,4999286.029999
2026-05-11,3609738.130000,2107294.050000,184304.790000,78469.130000,21103.980000,6000910.080000
2026-05-18,4185175.059999,2145905.480000,216404.790000,73415.270000,19571.660000,6640472.259999
2026-05-25,4337969.479999,2282702.540000,205895.510000,76301.120000,17778.290000,6920646.939999
2026-06-01,5097982.709998,4003655.100000,392014.180000,120621.680000,39931.860000,9654205.529998
2026-06-08,7015061.589998,3238302.840000,267119.350000,68533.150000,17625.120000,10606642.049998
2026-06-15,9021636.640003,3783945.890000,293991.960000,87572.180000,16274.500000,13203421.170003
2026-06-22,10080646.480007,3996175.329999,311635.040000,118169.600000,17350.440000,14523976.890006
